,企業名,キャッチコピー,ステータス,初年度年収
294,AIG損害保険株式会社 | 関西エリア積極採用中・自由度の高い営業スタイルが魅力！,【法人営業】月給34万円以上◆年休120日以上◆経験者歓迎 契約社員,契約社員,500万円～550万円
295,株式会社ライトハウス | ☆土日祝休み＆年休120日 ☆資格手当・住宅補助など充実,未経験大歓迎！【法人営業】★スタートアップメンバー募集★ 正社員,正社員,350万円～1000万円
296,あっとホームサービス株式会社 | 【倉敷募集】ふすま・障子専門店！ニッチな需要が安定してます★,反響型店舗の立ち上げ★【店長候補】ゼロからスタートを応援！ 正社員,正社員,
297,株式会社HI-LINE | 【条件に合う方全員面接】家族手当充実！賞与昨年度実績3ヶ月分,配送業務未経験でも全然OK！【ルート配送 2t】※AT限定免許でOK 正社員,正社員,350万円～450万円
298,昭和プラント株式会社 | ■残業月平均10時間以内 ■転勤なし ■未経験スタート大歓迎,技術者ファーストな好環境で働ける♪【電気工事スタッフ】 正社員,正社員,
299,株式会社浜寺ガスセンター | 【大阪府緊急雇用対策に賛同】年収800万円も目指せる/既婚率70％,【総合職(営業/メンテナンス)】※残業少なく・賞与平均4ヶ月に 正社員,正社員,
300,株式会社エーシーネクスト | ☆転勤なし☆研修も充実♪ ☆異業種出身者も活躍中！,★スタートアップ募集【住宅塗装の営業】賞与年4回/テレアポなし 正社員,正社員,350万円～500万円
301,アクリーコンサルティング株式会社 | ★コロナ禍でも過去最高益達成★平均年齢32歳、20～30代活躍中！,人と企業をつなぐ【ヘッドハンター(コンサルティング営業)】 正社員,正社員,540万円～800万円
302,株式会社未来図建設 | 【 創業119年の老舗安定企業 】■月給30万円以上 ■19時完全退社,建設を通してクライアントの課題を解決する【 営業 】■転勤なし 正社員,正社員,360万円～800万円
303,大東建託株式会社 | ■三重で[ 東証一部上場企業 ] の一員として活躍！■年休125日,＼何歳からでもスタートできる／【 営業 】＊三重募集＊ 正社員,正社員,350万円～1000万円
304,和光設計工事株式会社 | #大阪府緊急雇用対策に賛同 #充実の福利厚生、整った労務環境,残業ほとんどなし!完全週休2日制で働く【施工管理】※未経験歓迎 正社員,正社員,
305,株式会社井上組 | 創業90年以上｜JRなど大手と安定取引｜大阪府緊急雇用対策に賛同,【施工管理アシスタント】★完全未経験OK／8～9日の連休も可能★ 正社員,正社員,360万円～500万円
306,株式会社丸八ダイレクト | ◆名証二部上場「丸八グループ」◆WEB面接可◆報奨金・賞与年2回,【販売スタッフ】未経験でも月30万～可★嬉しい社宅有★学歴不問 正社員,正社員,
307,日交練馬株式会社 | 90年以上の歴史を持つ業界最大級の日本交通グループ,【タクシードライバー】年収500万円以上可！休日休暇も充実♪ 正社員,正社員,360万円～600万円
308,溝江建設株式会社 | 【 みぞえグループ 】■月給30万円以上 ■資格取得支援あり,福岡の街に、歴史に残る仕事を手がける【建築施工管理】転勤なし 正社員,正社員,
309,消火栓標識株式会社,消火栓標識の【管理スタッフ】★20代～幅広い年齢層が活躍中！ 正社員,正社員,300万円～400万円
310,株式会社グロリアース | 《 福岡本社（福岡市）積極採用中 》幅広い年齢層が活躍中です★,40代の新人も活躍中【営業】年齢・経験一切不問／未経験者歓迎 正社員,正社員,
311,株式会社キャリアサービス | 【年休125日以上】【産休育休実績あり】★20代・30代活躍中！,未経験月給35万保証!実現可能な理由は?【人材コーディネーター】 正社員,正社員,500万円～1000万円
312,株式会社データワンテクノロジー | 【業績好調】★現在待機ゼロの安定性★残業月平均10～20ｈ,【ITエンジニア】★新価値創造に挑戦★育成環境安心★定着率90％ 正社員,正社員,300万円～1000万円
313,株式会社Neo | （リサイクル事業）,【営業】6月設立◆直行直帰＆完全反響型！月収50万円以上可 正社員,正社員,360万円～600万円
314,株式会社よかタウン | 【東証一部上場のグループ企業】◇年収600万円以上も実現可能！,九州No1を目指す企業で活躍！【 営業 】★年間休日115日 正社員,正社員,
315,株式会社ファーストエージェント | 新しい働き方×納得のいく報酬を実現！1年目で年収1000万円可能,スタートアップメンバー募集！【不動産エージェント】副業OK 業務委託,業務委託,400万円～2000万円
316,株式会社ワークプレイスソリューションズ | 米国最大級のオフィス家具メーカー正規代理店◆海外出張あり,【ディレクター（インテリア・空間デザイン）】◆管理職候補 正社員,正社員,400万円～600万円
317,株式会社ワークプレイスソリューションズ | 米国最大級のオフィス家具メーカー正規代理店◆昨年度賞与4ヶ月,【企画営業】管理職候補◆成果反映型のコミッションボーナスあり 正社員,正社員,400万円～600万円
318,株式会社窪治組 | ほぼ残業なし★社員寮完備★週休2日★実働7.5時間★各種手当充実,未経験OK！【現場サポートスタッフ(現場監督候補)】★面接1回 正社員,正社員,300万円～550万円
319,株式会社シンミテクノ | ★20名採用プロジェクト始動！【大阪府緊急雇用対策に賛同】,世界シェアダイキンの技術部隊！【点検・メンテナンススタッフ】 正社員,正社員,
320,広島建設株式会社 | ～千葉に根差して50年の安定基盤があります～★WEB面接実施中★,◎転勤なし◎分譲住宅・注文住宅の【提案営業】※100％反響型 正社員,正社員,250万円～500万円
321,スカイジャパン株式会社 | 平均年齢35歳｜転勤ナシ｜幹部候補｜在宅勤務OK｜WEB面接対応◎,※複数名＆群馬積極募集※【提案営業】未経験でも月給30万以上！ 正社員,正社員,400万円～600万円
322,有限会社チャンス | 《千葉エリア中心の中古車販売店》ノルマなし／100%反響型,＼未経験大歓迎／売りやすさバツグン【カーライフアドバイザー】 正社員,正社員,300万円～500万円
323,"株式会社エーシーネクスト | 【4,000件以上の実績】★東北トップクラスのシェア率を誇ります",賞与年4回・完全週休二日制など制度抜群【省エネアドバイザー】 正社員,正社員,350万円～500万円
324,株式会社TERASS | 年収2000万も可能/仲介手数料の75％が年収/出社義務無し/副業OK!,フルリモート!面接1回【不動産売買仲介エージェント】※学歴不問 業務委託,業務委託,100万円～2000万円
325,株式会社オープンハウス | 20代の管理職率76％◆年4回昇給&昇格のチャンス有,<福岡勤務限定！>東証一部上場企業の【不動産営業】★未経験歓迎 正社員,正社員,390万円～1000万円
326,株式会社鈴鹿英数学院 | 【★転勤なし★　週休2日制｜モデル年収30歳600万円】,未経験OK★【総合職(教務・教室運営等)】子どもが好き！が活きる 正社員,正社員,
327,アップワン株式会社 | 【IT × 課題解決】コロナ禍でも成長を続けるベンチャー企業,【営業アシスタント】100％内勤／高収入／月給25万円＋インセン 正社員,正社員,300万円～500万円
328,株式会社エス・ビルド | 昨対比売上110％UP／年間休日121日／フレックス＆テレワーク導入,将来的は年収1000万円以上も可能！空間づくりを提案する【営業】 正社員,正社員,300万円～420万円
329,株式会社クレス不動産 | 反響営業だから、未経験でもムリなく稼げる＊,《20～30代中心に活躍中！完休2日》新築住宅の【不動産営業】 正社員,正社員,400万円～1000万円
330,株式会社CREA HOME | 設立以来増収増益↑｜将来的に年収600万円以上も可能｜週休2日制,デザイン性の高いリノベーションを手がける【建築内装施工管理】 正社員,正社員,350万円～900万円
331,株式会社 明和 | 創業60年以上、業績好調のエクステリアメーカーです！,アルミガレージメーカーでの【 法人営業 】 正社員,正社員,
332,東山管理センター株式会社 | 関西トップクラスの実績／資格手当など福利厚生充実,快適な水環境を守る【調査・メンテナンス】 ★年休125日★ 正社員,正社員,300万円～600万円
333,株式会社田辺消防システム | 法律で決まった消防設備点検を行う会社/経験者年収500万円～も可,【ルート点検スタッフ】★賞与年3回＆年休110日＆完全週休2日制 正社員,正社員,350万円～620万円
334,都タクシー株式会社 | 創設80年以上/就職祝い金あり◆月収30万円以上可能！,【タクシードライバー】未経験歓迎◎書類選考なし！研修制度充実 正社員,正社員,400万円～450万円
335,中央日化サービス株式会社 | 【創業62年の安定企業】◆資格支援制度あり◆平均月収35万円以上,【サービススタッフ】未経験OK◆賞与年3回&年収500万以上可能！ 正社員,正社員,300万円～400万円
336,有限会社アスター | 【高収入×残業ほぼなし×年間休日120日】★コロナ禍でも安定,"＼業界経験者必見／年収3,000万円をめざせる【不動産営業】 正社員",正社員,300万円～1500万円
337,株式会社コスモビルマネジメント | やりがい・充実度◎長く安定して働ける環境です！,【施設管理職】責任者年俸500～750万・一般社員年俸300～480万 正社員,正社員,
338,株式会社カーネルジャパン | 【高水準のインセンあり】★土日祝休み★有給取得率◎＝連休もOK,未経験からチャレンジOK【人材コーディネーター】★年休125日～ 正社員,正社員,220万円～700万円
339,西日本高速道路エンジニアリング中国株式会社 | 【NEXCO西日本グループ】◎年収600万円以上も目指せます！,【土木技術者(管理・点検・設計など)】◎年休120日×完全週休2日 正社員,正社員,
340,ツチヤ自動車株式会社 | 千葉・東京を中心に地域密着◎社員の大半が勤続15年以上です！！,【カーライフアドバイザー】入社1年目から、年収500万円以上可能 正社員,正社員,400万円～550万円
341,株式会社インターコスモス | 頑張りは給与・賞与できっちり還元します！！,イベント・空間を華やかに演出する【提案営業】 正社員,正社員,450万円～550万円
342,株式会社東亜産業 | 20代～30代中心に活躍中／年間休日120日以上,急成長メーカー企業の【法人営業】◆昇給随時＆歩合あり 正社員,正社員,
343,株式会社ジェイウェイブ | 男女ともに活躍できる！入社2年半、20代で所長になるスタッフも,未経験者大歓迎！【営業スタッフ】※インセンティブ制度あり 正社員,正社員,350万円～450万円
344,山三交通株式会社 | 未経験活躍中／格安＆キレイな社員寮有！上京も支援／Web面接OK,稼ぎたい・マイペース両方OK【タクシー運転手】★年休125日以上 正社員,正社員,350万円～800万円
345,株式会社みらい住宅開発紀行 | ◆各種祝金あり◆研修制度あり【大阪府緊急雇用対策に賛同】,不景気にも強い！【リフォームアドバイザー】平均月収50万円 正社員,正社員,300万円～850万円
346,株式会社統源 | 採用担当直通★TEL問い合わせもOK⇒080-3350-7778,高収入可能★働く時間も、日数も、あなたの自由★【ドライバー】 業務委託,業務委託,300万円～500万円
347,ケイエイツー株式会社 | 店舗拡大中の急成長住宅メーカー★2020年度グッドデザイン賞受賞,UIターン歓迎／WEB面接OK／引越代負担あり【経理】★月給25万円~ 正社員,正社員,350万円～550万円
348,株式会社グリード | ＼ Web面接も可能 ／ 人気のエリア福岡でネクストキャリアを―！,"意欲次第で年収1,000万円も目指せます【 売買営業 】*年休120日 正社員",正社員,400万円～1000万円
349,株式会社エム・シー・ピー | ★年齢不問★連続休暇取得も可★資格取得支援有★20～50代活躍中,【マンション修繕の施工管理】年収1000万円も可能/昇給年4回実績 正社員,正社員,450万円～850万円
350,株式会社Ｔ．ｖａｌｕｅ | 明確な評価制度／インセン平均40～50万円／半年で役職も可能！,立ち上げ期のメンバーを募集！【提案営業】月給27万円+インセン 正社員,正社員,
351,株式会社MICALLE | ★土日祝休み・完全週休2日制★【大阪府緊急雇用対策に賛同】,レディースアパレルブランドで活躍♪【総合職(営業・営業事務)】 正社員,正社員,300万円～780万円
352,株式会社TEC三河 | ★人手不足が続く三河は豊かな市場！だから営業しやすさ抜群！,【人材コーディネーター】＊完全週休2日＊残業少なめ＊転勤なし 正社員,正社員,300万円～600万円
353,株式会社ゼント | 東京都大田区に人気の「アパマンショップ」4店舗を展開！,完全反響型の【ルームアドバイザー】1年目で年収600万円も可能！ 正社員,正社員,
354,日本コンセントリクス株式会社 | 土日祝休み／年休121日／残業月10～20H以内／リモートワークOK,Microsoft社製品の【カスタマーサポート】★大阪・札幌勤務★ 契約社員,契約社員,350万円～400万円
355,株式会社スカーラサポート | 《面接1回》《社員の9割が月給30万円以上実現》《普通免許でOK》,【レッカーサービススタッフ】◎年齢不問 ◎埼玉・東京募集 正社員,正社員,350万円～600万円
356,株式会社エフォート | 大阪府緊急雇用対策に賛同｜年間休日120日 × 土日祝休み！,未経験からスタートOK！【営業アシスタント】☆月収50万円も可！ 正社員,正社員,
357,和光建物総合管理株式会社,【マンション管理フロント】中途入社100％！人生経験を生かせる 正社員,正社員,
358,株式会社オーテックプラス | 手当充実／月給25万円以上＋賞与年2回／原則定時退社／家賃補助,新築住宅の【電気工事スタッフ】20代で、年収800万円以上も可！ 正社員,正社員,450万円～600万円
359,大津紙運輸株式会社 | 【大津板紙株式会社の子会社】★資格は会社全額負担で取得OK,力仕事ほぼなし！将来性抜群の【倉庫管理】※賞与4ヶ月分 正社員,正社員,370万円～440万円
360,株式会社ブルーム | ☆最大8連休の長期休暇あり☆嬉しい毎月のインセン＆報奨金あり,未経験歓迎！【エステティシャン】★日曜定休★残業ほぼナシ 正社員,正社員,300万円～360万円
361,昭和エンジニアリング株式会社 | 【幅広い年代が多数活躍中！】※大阪府緊急雇用対策に賛同,月給50万円以上を保証！【土木施工管理】※NEXCOや国交省と取引 契約社員,契約社員,600万円～1080万円
362,岩間電設株式会社 | 【人柄重視で採用します】★転職回数不問 ★住宅/家族手当あり,【電気工事士】★未経験OK 社会人デビューも◎ 一から丁寧に育成 正社員,正社員,360万円～600万円
363,株式会社シュテルン品川 | MBSC優秀賞を多数受賞／正規販売店でトップクラスの待遇と実績,メルセデス・ベンツの【セールススタッフ】※自動車業界未経験OK 正社員,正社員,400万円～1000万円
364,タウンクロス株式会社 | 賞与5～6か月支給実績あり！★12年連続増収増益の安定基盤★,【営業】未経験でもOK！100%人物採用です◎月給25万円～の好待遇 正社員,正社員,350万円～450万円
365,株式会社ルクス | コロナ禍でも急成長の業界/実力次第で高収入/20～30代活躍中,リスティング・WEB広告担当者求ム【WEBマーケティング】未経験OK 正社員,正社員,
366,株式会社ケイエスケイ,ニーズ＆成約率の高い【人材系営業】／完週休2日（土日）＋祝休 正社員,正社員,300万円～500万円
367,株式会社ショウエー設計測量事務所 | 昭和46年創立,【建築測量(墨出し)】高収入を目指せる会社/入社祝い金5万円支給 正社員,正社員,
368,株式会社相馬 | 大手ゼネコンと直接取引あり安定企業＊コロナ禍も関係なし,社用iPadでスイスイ仕事が進む♪【現場管理】年収700万円も可 正社員,正社員,350万円～700万円
369,株式会社ニューアート・シーマ | 日本最大級のダイヤモンド専門店『銀座ダイヤモンドシライシ』,東北募集／ブライダルジュエリーの【コンシェルジュ】※未経験可 正社員,正社員,
370,廣見家具株式会社 | 【大阪府緊急雇用対策に賛同】和歌山・大阪募集／20～30代活躍中,家具のトータルコーディネートを提案！【販売スタッフ】経験不問 正社員,正社員,270万円～400万円
371,株式会社九神ファームめむろ | 農業王国めむろで”のびのび”と働ける環境です！女性活躍中♪,「 家庭の食卓 」を支える♪【 障がい者支援スタッフ 】 正社員,正社員,300万円～500万円
372,伸栄電機株式会社 | 【大阪府緊急雇用対策に賛同】大手企業や官公庁と取引実績多数,未経験でも月給30万円～！高収入も叶う【電気工事士】☆転勤なし 正社員,正社員,
373,株式会社エル光源 | 官公庁や大手企業からの直請け多数｜高い技術力で業界をリード,【設計エンジニア】原則定時退社／土日祝休／高収入／転勤なし 正社員,正社員,420万円～720万円
374,有限会社東栄空調 | ＜ もっと快適な毎日を♪＞ 技術光る／大規模空調設備の実績豊富,働きやすさが一味違う！【設備工事】★UIターン歓迎/WEB面接OK★ 正社員,正社員,
375,株式会社ベルハウス | 17年連続で増収増益！安定感は抜群 ★駅徒歩1分の好立地,【不動産営業】★完全週休2日制・未経験から年収800万円以上も！ 正社員,正社員,550万円～800万円
376,希光建設株式会社 | 高収入も実現！年収例800万円/経験5年〈 入社祝い金10万円支給〉,総合建設業【土木・建築施工管理】★経験者積極採用★年齢不問 正社員,正社員,450万円～800万円
377,恵豊自動車交通株式会社 | 11年連続業界No.1日本交通グループ／創業90年／安定企業,年収890万円も目指せる！【JPNドライバー】入社祝金10万円！ 正社員,正社員,320万円～400万円
378,株式会社西田防災 | <未経験歓迎>残業少なめ＆時差出勤あり／リフレッシュ休暇あり,防災設備の【メンテナンススタッフ】★意欲・ポテンシャル重視！ 正社員,正社員,324万円～360万円
379,三和ペイント株式会社 | ☆先輩社員のほとんどが年収UP！裁量大きく活躍可！☆全国募集,コロナ禍でも減給＆解雇ゼロ！塗装の【営業職】☆未経験歓迎！ 正社員,正社員,
380,株式会社沖縄ユーポス | 【 ユーポスグループ 】20代の若手社員が続々と入社しています,原則残業なし★働きやすい環境・高収入が手に入る！【 営業職 】 正社員,正社員,
381,株式会社鶴電工業 | 大型風力発電所や大規模メガソーラーの建設に携わる全国有数企業,即戦力採用・経験者優遇【土木施工管理技士】★20~50代が活躍中 正社員,正社員,500万円～650万円
382,株式会社晃和コンサルタント | 【移住支援金対象求人(宮崎)】　宮崎で業界トップクラスの実績,【建設コンサルタント】★年間休日120日以上★土日祝休み 正社員,正社員,
383,ヤオキ商事株式会社,販売は外注して仕入れに専念！だから稼げる【営業(用地仕入)】 正社員,正社員,
384,株式会社ツイテルホーム | WEB面接も実施中｜平均月収30万円｜ノルマなし｜有給取得を推奨,お金を払う営業！【リサイクル営業】★未経験でも高収入GET★ 正社員,正社員,350万円～600万円
385,株式会社ハイファイブ | 産育休の取得実績あり／時短勤務OK／大阪府緊急雇用対策に賛同,未経験でも月給25万円～【企画・案内スタッフ】 ★残業月平均15H 正社員,正社員,300万円～400万円
386,株式会社Flawless | 充実の研修で未経験も安心スタート◎20代30代の男性活躍中！,【鑑定スタッフ】★昇格チャンス多数！ ★平均月収50万円 正社員,正社員,450万円～700万円
387,株式会社ドリームジャック | 【売上155％増で拡大中】★土日祝休み ★残業月10ｈ程度,【開発エンジニア(IT・Web)】あなたの理想を応援！★副業もOK 正社員,正社員,420万円～600万円
388,株式会社崎山組 | 資格取得すれば月収60万円も可能！コロナの影響を受けず業績好調,【機械オペレーター】☆高収入！1回の賞与で100万円の実績あり 正社員,正社員,300万円～600万円
389,"中村総業株式会社 | ★豊橋市,水道局,大手ハウスメーカーと取引 ★賞与年2＋決算賞与",”機械化できない仕事”に挑戦【現場管理スタッフ】★土日祝休み 正社員,正社員,400万円～650万円
390,中西不動産株式会社 | 地域最大級の物件情報を保有！地域密着で長いお付き合いが可能！,"＼稼ぎたい方必見！／年収1,000万円以上も可能◎【不動産営業】 正社員",正社員,300万円～1000万円
391,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,宮崎限定募集【総合職(資格取得アドバイザー・システム営業)】 正社員,正社員,350万円～550万円
392,株式会社トラスト不動産 | 【ハウスドゥ北大路大宮店】6月OPEN！決算賞与あり！公休は110日,不動産業界経験が活かせる【不動産営業】研修充実！オープニング 正社員,正社員,400万円～800万円
393,東葉技建株式会社 | 《WEB面接OK》頑張りは賞与で還元、年収1000万円超え多数在籍中,前給考慮＊月給28万円～【建築施工管理】賞与実績6ヵ月支給！ 正社員,正社員,600万円～1000万円
394,株式会社丸井工文社 | <創業70年の老舗印刷会社>官公庁・大手出版社・教育機関と直取引,未経験から始める【ルート営業】★飛び込み・ノルマなし 正社員,正社員,300万円～400万円
395,イオングリーン電力株式会社 | ★新拠点の立ち上げに携わるチャンスも★ 平均月収50万円,月給30.5万円以上★未経験OK【 営業マネージャー(管理責任者) 】 正社員,正社員,400万円～600万円
396,株式会社RASTAQ | IKEAやイトーヨーカドーなどの看板施工を数多く手掛けています,街を彩る大型広告の【 取り付けスタッフ 】*20代の若手社員多数 正社員,正社員,
397,株式会社GoodWorkJapan | 年間休日125日以上/完全週休2日制/20代～30代活躍中！,月給28万円以上保証★残業少なめ★営業経験者募集★【法人営業】 正社員,正社員,430万円～650万円
398,株式会社アライブインテリア | 【元請け：森ビル案件9割】★残業月25h程度★資格取得支援が充実,＼育成枠＝未経験でOK／【内装施工管理】★面接確約★土日祝休み 正社員,正社員,300万円～450万円
399,株式会社ボンドエステート | ー★がっつり稼ぐかプライベート重視か両立か…選べる働き方★ー,不動産物件の仕入れ業務を行う【営業】＊残業ほぼ0＊土日祝休み 正社員,正社員,300万円～1200万円
400,旭紙工株式会社 | 月給25万円~+賞与5ヶ月/基本定時退社/大阪府緊急雇用対策に賛同,未経験歓迎！花束やラッピングに使われる紙の【製造スタッフ】 正社員,正社員,
401,有限会社新潟機械商行 | ★社用車貸与＆ガソリンカード支給★長期1週間ほどの休暇もOK★,【進行管理スタッフ】未経験でも月給25万円スタート★年113日休 正社員,正社員,375万円～500万円
402,株式会社L.I.G | 反響は毎月200件以上！歩合率最高33％で、無理なく高収入をGET◎,月収50万円越えのママさんも活躍中♪【ルームアドバイザー】 正社員,正社員,
403,株式会社ISM | 続々と新規出店中！ 首都圏を中心に6店舗運営、展開中！,レジャーホテル【店舗運営スタッフ】月給30万円～／残業10H以内 正社員,正社員,350万円～450万円
404,株式会社エイトハウジング | WEB面接実施中★有給取得推奨★大阪府緊急雇用対策に賛同,＼未経験デビューを応援／【アドバイザー】※土日祝休・定時退社 正社員,正社員,400万円～800万円
405,東京海上日動あんしん生命保険株式会社 | 東京海上ホールディングス株式会社100%出資企業,【ライフパートナー】未経験歓迎・正社員・月給30～60万スタート 正社員,正社員,360万円～2000万円
406,株式会社トリックトラック | 完全週休2日制・土日祝休み・年間休日120日以上,Web広告のプロを募集！ 【総合職（広告運用or記事ライター）】 正社員,正社員,350万円～550万円
407,株式会社和幸 | 【 月6万円で住める？！ 】話題のローコストでお洒落な家WOODBOX,【 提案プランナー 】未経験OK＊女性活躍中＊年収500万円以上可 正社員,正社員,400万円～600万円
408,株式会社四国軽貨物 | 東京支店・登録無料・日払いOK・リース車両2ヶ月無料・車検無料,【軽貨物ドライバー】湾岸エリアの案件充実！70万円以上も可能！ 業務委託,業務委託,360万円～1000万円
409,株式会社fosbury | 【ベストベンチャー100選出企業】#コロナ禍でも連続増収増益中！,公的機関主催の超大型イベントも手がける【イベントプランナー】 正社員,正社員,300万円～500万円
410,株式会社小宮測量 | メチャ稼げる♪1日あたり11000円以上だから⇒日給月給28.6万円～,転勤ないから、ずっと仙台！【計測アシスタント】残業ほぼなし 正社員,正社員,300万円～400万円
411,株式会社シティ・ハウジング | 【創業37年／地域密着型】週休2日制 ★ 基本定時退社(残業月10h),未経験OK！【ルームアドバイザー】★月給26万円~ ★100%反響型 正社員,正社員,350万円～500万円
412,メットライフ生命保険株式会社 | 大阪第一エイジェンシーオフィス｜年間休日121日＆賞与年4回,やりがいと報酬の双方を突き詰められる【コンサルティング営業】 正社員,正社員,350万円～600万円
413,株式会社コンセプト | 競馬関連のプロモーションを担う制作会社 ◎WEB面接1回のみ！,DMや新聞広告の【制作スタッフ】★未経験者も月給30万スタート！ 正社員,正社員,360万円～450万円
414,株式会社新井組 | 主要4地方整備局で令和元年度 工事成績優秀企業認定(国土交通省),【土木施工管理】★完全週休2日／ノー残業デーあり 正社員,正社員,400万円～700万円
415,株式会社sizebook | 業界高水準の待遇★月25万～★完休2日★土日祝休★第二新卒歓迎,WEB広告の【ライター】★未経験歓迎★年収1000万円稼ぐ先輩も！ 正社員,正社員,300万円～800万円
416,株式会社ファーストライズ | 9年連続で業績UP／コロナ禍でも変わらずニーズがある安定企業★,メディア注目の企業で活躍【営業】※土日祝休み・未経験歓迎！ 正社員,正社員,360万円～700万円
417,ウェルビー株式会社 | 【東証一部上場企業で資格を活かして高収入へ】★年休120日以上,残業月10h*月27万円～*早期昇格あり【福祉系総合職(PT/OT/ST)】 正社員,正社員,330万円～450万円
418,株式会社スカーラサポート | 《面接1回》《社員の9割が月給30万円以上実現》《普通免許でOK》,【レッカーサービススタッフ】◎年齢不問 ◎福岡限定募集 正社員,正社員,350万円～600万円
419,株式会社Miss WH | ◆完全週休2日制（土日祝）◆未経験スタートでも月給28万円,女性向けプロモーションの【企画営業】 ◆業界未経験者歓迎 正社員,正社員,350万円～800万円
420,ウェルビー株式会社 | 【東証一部上場企業で資格を活かして高収入へ】★年休120日以上,残業10h*月27万円～【専門サポート員(公認心理師/臨床心理士)】 正社員,正社員,330万円～450万円
421,株式会社グローバルサポート | 【インセンティブ月平均15万円／50万円稼ぐ先輩も！】※副業OK！,未経験歓迎！インセンティブで高収入【反響営業】完全週休2日制 正社員,正社員,
422,写測エンジニアリング株式会社 | 案件は100％公共事業の安定企業■大阪府緊急雇用対策に賛同,街並みを彩る【土木設計】未経験歓迎／残業少なめ／賞与年3回 正社員,正社員,350万円～550万円
423,株式会社太田興産 | JASDAQ上場（株）ジェーソンの持株会社◆銀座4丁目の自社ビル！,【設備管理】★自社が所有する不動産の設備管理～マネジメント★ 正社員,正社員,
424,東陽設備工業株式会社 | 設立57年/大手ゼネコン取引あり/年収700万円を目指せる！面接1回,＼月給25万円～45万円スタート／【施工管理】原則土日祝休 正社員,正社員,300万円～600万円
425,株式会社三木森 | 電化製品や化粧品等の日本製品を大手ECサイトや海外で販売,【海外営業】リーダー候補・チームメンバー/新たな販路開拓を！ 正社員,正社員,350万円～600万円
426,株式会社マツミ | フランク&自由な社風で、誰よりも楽しく働きたいなら当社一択！,★未経験OK！【総合職(カーコンシェルジュ／査定アドバイザー)】 正社員,正社員,300万円～600万円
427,株式会社モトーレン青森 | ≪人物重視の採用！≫ 入社後に車を買う必要はありません,未経験歓迎【 営業スタッフ 】☆異業種からのスタートも多数！！ 正社員,正社員,280万円～500万円
428,日本リアライズ株式会社 | ライフプランを提案する営業で年商数十億円を実現◎未経験OK,＜茨城募集＞稼げる環境とフォロー体制で一流に成長【企画営業】 正社員,正社員,350万円～1500万円
429,株式会社ワイズ高橋 | 業界でも珍しい、弊社ならではの買取職にご注目！退職金制度あり,＊本当にノルマなし＊ 高級輸入車店の【総合職(営業・買取)】 正社員,正社員,
430,株式会社アプローズ不動産販売 | ★年収1000万円以上も可能★完全週休2日制,新事業のスタートメンバー！100％反響型【営業（幹部候補）】 正社員,正社員,480万円～840万円
431,三栄工業株式会社 | 創業64年！60歳以上の社員も活躍中★長く働ける会社です！,沖縄の街づくりに協力してくれませんか？【 技術スタッフ 】 正社員,正社員,
432,株式会社アクト | ＼賞与は4～5ヶ月分を支給／残業は月平均10時間ほどです,道路や河川などの社会インフラに関わる【施工管理】★年休113日 正社員,正社員,350万円～500万円
433,日本フォーミング株式会社 | ◆基本土日祝休み◆ほぼ定時退社 ◎未経験大歓迎！,【本社営業事務職】付き合いのあるお客様との橋渡し役をお任せ！ 正社員,正社員,300万円～400万円
434,株式会社Ｃ－スピリット,【軽貨物配送ドライバー】◆経験者歓迎／年収100万円も可能！ 業務委託,業務委託,
435,株式会社HG・ロジック | |.. 大型免許　平均月収40万円 ..| | 夜間走行なし／未経験歓迎,【回収ドライバー】★長距離なし ★普通免許OK ★30代活躍中！ 正社員,正社員,400万円～450万円
436,豊中機工株式会社 | ゴルフ場用芝刈り機などを取り扱う専門商社/土日祝休/年休125日,機械好きの方歓迎！芝刈り機の【メンテナンススタッフ】土日祝休 正社員,正社員,
437,株式会社リレーション | ■完全土日休み■未経験でも月給24万円～■駅チカオフィスで快適,【営業】話題の投資不動産！◇未経験者歓迎 ◇転勤なし 正社員,正社員,
438,臨海建設株式会社 | ＼公共案件100％／総合土木業として愛媛に貢献！＜面接1回のみ＞,初年度年収500万円以上目指せる！【土木施工管理】※転勤なし 正社員,正社員,390万円～520万円
439,株式会社カークレド | 【東証一部上場企業「プロトコーポレーション」グループ】,【バイク鑑定師】バイク好きで免許さえあれば、経験一切不問！ 正社員,正社員,270万円～450万円
440,大仲金属株式会社 | (ダイナカキンゾク) 原料となる”鉛”を製造◆完全週休2日(土日),【 設備管理スタッフ 】未経験歓迎★完全週休2日/平均月収35万円 正社員,正社員,350万円～500万円
441,株式会社ライフ鑑定調査事務所 | 【レピオグループ】★毎月・半期毎の歩合と年2回賞与あり,未経験から始める【現地調査員・鑑定士】＊月給25万円以上～ 正社員,正社員,400万円～600万円
442,株式会社family | ★高卒・中卒からでも高収入が目指せるフィールド,経産省認可!即決契約率80％以上を誇る【電子ブレーカーの営業】 正社員,正社員,450万円～1500万円
443,有限会社共栄シャッター | *年休120日以上 *完全週休2日 *残業ほぼなし *資格支援あり,【メンテナンススタッフ】*未経験でも月給24万円以上*20代活躍中 正社員,正社員,300万円～500万円
